| Entity | ROE_pct | Operating_margin_pct | Current_ratio | EPS | Revenue_M | Debt_ratio | Net_income_M |
|---|---|---|---|---|---|---|---|
| CompanyE | 27.4 | 11.9 | 1.4 | 10.7 | 2749.7 | 0.7 | 110.2 |
| CompanyK | -3.1 | 9.5 | 2.4 | 9.9 | 1772.1 | 0.9 | 87.2 |
| CompanyT | -3.3 | 4.9 | 2.4 | 18.2 | 2846.6 | 0.1 | 104.7 |
| CompanyQ | 39.5 | 32.8 | 1 | 11.4 | 190.6 | 0.3 | 362.4 |
| CompanyG | 15.4 | -3.8 | 2.6 | 9.4 | 2917.4 | 0.6 | 277.1 |
| CompanyF | 38.4 | 32.3 | 4 | 17.7 | 4517 | 0.5 | 1221.9 |
| CompanyI | 28.2 | 36.5 | 2.5 | 23 | 71.4 | 0.2 | 642 |
| CompanyB | -2.2 | 23.4 | 2.3 | 19.4 | 4234.3 | 0.7 | 527 |
| CompanyD | 8.1 | 23.1 | 2.7 | 17.9 | 4019.5 | 0.1 | 47.9 |
| CompanyO | 43.1 | 1.7 | 3.6 | 11.2 | 575.2 | 0.5 | 1289 |
| CompanyL | -13.8 | 20.6 | 3.8 | 22.3 | 4241.8 | 0.5 | -106.8 |
| CompanyM | 27.9 | 11.9 | 0.6 | 11.1 | 3829.5 | 0.6 | 207.2 |
| CompanyH | 43.7 | 5.3 | 1.2 | 23.1 | 2480.7 | 0.4 | 856.5 |
| CompanyN | -8.8 | 21.2 | 0.9 | 19.7 | 1263.8 | 0.1 | 993.9 |
| CompanyC | 1.3 | -4.9 | 3.2 | 2.1 | 1476.1 | 0.8 | 1162 |
| CompanyJ | 17.8 | 7.4 | 0.7 | -0.7 | 3080.8 | 0.8 | 497.5 |
| CompanyP | 35.6 | 24.5 | 3.7 | 18 | 1269.2 | 0.5 | 389.5 |
| CompanyS | 15.4 | 15.5 | 0.6 | 16.5 | 1660.5 | 0.1 | 290.5 |
| CompanyA | -11.4 | 1.6 | 2.6 | 14.3 | 4657.7 | 0.6 | 765.8 |
| CompanyR | -7.4 | -4.9 | 1.5 | 24.4 | 3660.2 | 0.4 | 392.7 |
