| Entity | Revenue_M | Debt_ratio | Total_assets_M | Net_income_M | Operating_margin_pct | ROE_pct | EPS |
|---|---|---|---|---|---|---|---|
| CompanyL | 1297.7 | 0.3 | 43871.5 | 1126.7 | 17.5 | -10.8 | 1.4 |
| CompanyH | 2830.6 | 0.7 | 21170.2 | 721.5 | 1 | 18.9 | 16.9 |
| CompanyM | 3760.8 | 0.2 | 18416.9 | 72.7 | 25.3 | -6.2 | 9.1 |
| CompanyT | 3690.5 | 0.8 | 33896.1 | 460.3 | 16.2 | 27.9 | -1 |
| CompanyJ | 3638.2 | 0.3 | 37814.3 | 28.6 | 3 | 14 | 12.5 |
| CompanyA | 3905.7 | 0.6 | 9455.9 | 416.6 | 21.5 | -8.4 | 4.8 |
| CompanyD | 409.4 | 0.4 | 12204.1 | 480.3 | 30.8 | 18.4 | 14.3 |
| CompanyP | 2572.4 | 0.6 | 7483.4 | -9.4 | 21.5 | 39.6 | 7.4 |
| CompanyK | 1345.8 | 0.3 | 38082.5 | -98.3 | 18.8 | 5.5 | 16 |
| CompanyQ | 4610.3 | 0.6 | 35777.2 | 1298.7 | 33.1 | -12 | 22.8 |
| CompanyI | 3925.3 | 0.1 | 9614.9 | 1309 | -4.5 | 41.7 | 4.6 |
| CompanyC | 582.3 | 0.4 | 26936.4 | -195.6 | 22.8 | -6.5 | 23.4 |
| CompanyF | 1254.1 | 0.8 | 38259.1 | 890 | 13.4 | 13.5 | 3.5 |
| CompanyN | 2303.3 | 0.5 | 47362 | -40.7 | 3.7 | 17.7 | -0.1 |
| CompanyR | 4816.4 | 0.5 | 9090.4 | 1177.2 | 39.1 | -0.8 | 3.2 |
| CompanyE | 592.9 | 0.6 | 15355.6 | 1295.3 | 13.2 | -4.4 | 20 |
| CompanyG | 2861.5 | 0.4 | 17547.3 | 848.2 | 10.1 | -8.2 | 16.3 |
| CompanyO | 1739.4 | 0.8 | 31323.9 | 842.4 | 2.6 | -10.8 | 24.2 |
| CompanyS | 3249.4 | 0.4 | 6993.7 | 431.5 | 39.9 | 15.5 | 17.2 |
| CompanyB | 3261.1 | 0.9 | 9832.8 | 224.1 | 33.5 | 35.5 | 9.1 |
