| Entity | ROE_pct | Net_income_M | Total_assets_M | Operating_margin_pct | Revenue_M | EPS | Debt_ratio |
|---|---|---|---|---|---|---|---|
| CompanyG | 29.3 | 1318.1 | 1072 | 8.7 | 4432.2 | 9.4 | 0.9 |
| CompanyB | -2.2 | 828.3 | 41108.4 | 7.2 | 2297.2 | 1.7 | 0.5 |
| CompanyP | -1.6 | 563.6 | 20298.6 | 26.2 | 3192.6 | 6.9 | 0.3 |
| CompanyH | 5.4 | 245.7 | 27311.2 | 4.7 | 4612.9 | 8.6 | 0.4 |
| CompanyE | 12.8 | 216.6 | 11278.6 | 38.3 | 3702.8 | 13.7 | 0.2 |
| CompanyN | 15.8 | 1162.4 | 42121.1 | 39.6 | 2727.2 | 5.4 | 0.8 |
| CompanyS | 24.9 | 275.1 | 36116.1 | 15.6 | 2043.3 | 12.9 | 0.2 |
| CompanyJ | 20.3 | -190.2 | 47677.7 | 13.1 | 2337.6 | 22.5 | 0.8 |
| CompanyK | 13.9 | -166.9 | 23867.5 | -1.4 | 1741.3 | 9.4 | 0.1 |
| CompanyQ | 8.6 | 1463.3 | 48832.9 | 30 | 4733.6 | 15.6 | 0.3 |
| CompanyT | 0.9 | 751.7 | 25640.6 | 2.3 | 1301.6 | 4.2 | 0.2 |
| CompanyR | 27.6 | 631.3 | 31146.8 | 37 | 2076.3 | 19.6 | 0.6 |
| CompanyL | 4.1 | 1360.4 | 33771.5 | 39.6 | 3902.2 | 5.3 | 0.5 |
| CompanyA | 36 | 397.9 | 24590.6 | 0.5 | 1853.5 | 13.7 | 0.9 |
| CompanyO | 20.2 | 1151.5 | 28226.5 | 25.7 | 4438.7 | 6.1 | 0.4 |
| CompanyF | 23 | 1027.1 | 11320.7 | 16 | 1253.2 | -0.2 | 0.1 |
| CompanyC | 15.5 | 611.1 | 18245.7 | 19.4 | 205.2 | 6.6 | 0.7 |
| CompanyI | 40.7 | 1116.9 | 35159.3 | 3.1 | 3162.3 | 3.7 | 0.6 |
| CompanyD | 10.3 | 1441.8 | 2141.7 | 27.6 | 2565.9 | 22.1 | 0.8 |
| CompanyM | 10.6 | 141 | 35080.6 | 2.5 | 4668.6 | 5.2 | 0.4 |
