| Entity | Debt_ratio | ROE_pct | Revenue_M | Net_income_M | Operating_margin_pct | Total_assets_M | Current_ratio |
|---|---|---|---|---|---|---|---|
| CompanyB | 0.2 | 37.8 | 2193.7 | 636.8 | 5.8 | 26513.3 | 2.3 |
| CompanyS | 0.4 | 34 | 1657.6 | 647.8 | 36.8 | 6648.1 | 3.8 |
| CompanyE | 0.7 | -14.5 | 2711.8 | 1446.2 | 36.8 | 734.9 | 1.9 |
| CompanyG | 0.5 | 17.4 | 63.8 | 113.9 | 17.3 | 10779.9 | 3.7 |
| CompanyP | 0.7 | 39.8 | 1931.7 | 1114.2 | 38.3 | 36272.5 | 2 |
| CompanyT | 0.4 | 20.9 | 2422.8 | -190.4 | 13.7 | 41460 | 3.1 |
| CompanyF | 0.8 | 2.4 | 4026.4 | 868.6 | 12.4 | 17198.5 | 3.7 |
| CompanyD | 0.2 | -3.3 | 3519.8 | 909.6 | 36.3 | 26889.1 | 2.4 |
| CompanyL | 0.2 | 26.1 | 4256.3 | 1081.3 | 23.5 | 12152.7 | 1.6 |
| CompanyQ | 0.5 | 31.3 | 1912.7 | 1374.1 | 29.3 | 44046.1 | 0.7 |
| CompanyC | 0.5 | 39.8 | 747.5 | 1081.5 | 13.6 | 48267.3 | 3.3 |
| CompanyR | 0.6 | 39.3 | 2035.2 | 1044.6 | 13.3 | 37696.4 | 2.7 |
| CompanyA | 0.3 | 5.4 | 4817.1 | 231.4 | -1.3 | 4626.6 | 1.4 |
| CompanyI | 0.3 | 21.2 | 1110.9 | 1487.8 | 38.5 | 21968.5 | 3.6 |
| CompanyO | 0.7 | -8.9 | 915 | 596.3 | 5.3 | 49527.2 | 3.7 |
| CompanyN | 0.3 | -9.3 | 4724.5 | 509.7 | 17.2 | 11623.4 | 3.6 |
| CompanyK | 0.7 | -10.7 | 4752.1 | 653.2 | 0.2 | 33589.5 | 2.6 |
| CompanyH | 0.6 | 40.6 | 788.7 | 469.9 | 24.1 | 46940.5 | 3.9 |
| CompanyM | 0.2 | -5.9 | 3858.8 | 809.2 | 12.6 | 38705.5 | 3.6 |
| CompanyJ | 0.7 | 13.9 | 2177.2 | 394.4 | 29.5 | 30521.2 | 0.9 |
