| Entity | Net_income_M | Current_ratio | Debt_ratio | Total_assets_M | ROE_pct | Operating_margin_pct | Revenue_M |
|---|---|---|---|---|---|---|---|
| CompanyC | 1361.7 | 2.4 | 0.2 | 22076.4 | -1.2 | 7.5 | 1551.3 |
| CompanyG | 479.3 | 2.7 | 0.5 | 24415 | 17.3 | 1.2 | 4951.3 |
| CompanyF | 906.1 | 3.5 | 0.8 | 11271.4 | 31.9 | 11.6 | 2431.5 |
| CompanyE | 721.4 | 2.4 | 0.8 | 49419.6 | 10.1 | 26.6 | 1626.1 |
| CompanyK | 1312.6 | 0.8 | 0.7 | 44639.2 | 8 | 26.1 | 3190.1 |
| CompanyH | 1215.1 | 3.7 | 0.1 | 30092.7 | 24 | 9.3 | 2506.7 |
| CompanyL | 138.9 | 2.5 | 0.8 | 48035.9 | -5.6 | 17.9 | 4789.4 |
| CompanyM | 951.8 | 1.5 | 0.4 | 34412.5 | 7.8 | 4.8 | 461.8 |
| CompanyB | 1240.8 | 3.6 | 0.7 | 47963.5 | -2.5 | 17.6 | 3963.2 |
| CompanyR | 1381.4 | 0.9 | 0.7 | 8244.5 | 24.1 | 18 | 1431.5 |
| CompanyT | 802.9 | 0.8 | 0.2 | 11427.8 | -8.3 | 8.6 | 4043 |
| CompanyS | 99 | 2.4 | 0.5 | 44282.1 | 11.9 | 6.7 | 4246.2 |
| CompanyI | 749 | 2.7 | 0.8 | 21109.7 | 20.8 | 39.1 | 4253.7 |
| CompanyJ | 931.9 | 2.3 | 0.3 | 18683.7 | 35 | 19.2 | 4340.1 |
| CompanyD | 263.2 | 3.8 | 0.7 | 37765.9 | 28.5 | 20.3 | 3604.7 |
| CompanyN | 1454.1 | 1.4 | 0.9 | 31590.2 | 41.6 | -4.6 | 754.9 |
| CompanyA | 189.9 | 4 | 0.4 | 17334.8 | 25.8 | 3.2 | 306.9 |
| CompanyP | 1349.3 | 0.6 | 0.4 | 20013.5 | 6 | 11 | 1736.8 |
| CompanyQ | 522.8 | 0.9 | 0.5 | 20537.5 | -1.1 | 38.5 | 2500.6 |
| CompanyO | -199.1 | 1.1 | 0.7 | 6491.3 | -11.6 | 2.9 | 1548 |
