| Entity | ROE_pct | Debt_ratio | Total_assets_M | Current_ratio | EPS | Revenue_M | Operating_margin_pct |
|---|---|---|---|---|---|---|---|
| CompanyB | 8.5 | 0.3 | 37498.5 | 1.2 | 8.3 | 1732.3 | 4.3 |
| CompanyK | 2.8 | 0.8 | 32086.4 | 3.5 | 4.4 | 4889.6 | -3.1 |
| CompanyM | 9.5 | 0.8 | 34762.2 | 1.6 | 5.8 | 4685 | 26.2 |
| CompanyN | -12.6 | 0.6 | 32631.3 | 2.2 | 6.7 | 1376.2 | -4 |
| CompanyI | -11 | 0.2 | 32135.5 | 2.4 | 17.4 | 1736 | 38.7 |
| CompanyF | 35.3 | 0.4 | 17612.8 | 1.6 | 2.8 | 4070.2 | 10.8 |
| CompanyE | -8.8 | 0.3 | 1602.7 | 3.1 | 5.1 | 1018.3 | -4.7 |
| CompanyG | 34.4 | 0.6 | 22202.9 | 2.9 | 0.7 | 3673.2 | 34.8 |
| CompanyD | 3.4 | 0.7 | 2463.9 | 3.2 | 6.9 | 689.3 | 22 |
| CompanyO | 3.6 | 0.2 | 23549.6 | 2.6 | 23.4 | 1067.7 | 31.8 |
| CompanyC | -9 | 0.8 | 23311.1 | 2.1 | 8.3 | 2527.5 | 14.6 |
| CompanyJ | -14.2 | 0.5 | 9100.3 | 2.1 | 19 | 3742.1 | 10.9 |
| CompanyT | 6.3 | 0.7 | 39256.2 | 3 | 10.5 | 3710.2 | 24.5 |
| CompanyP | 35.1 | 0.1 | 35269.6 | 1.8 | 10.1 | 3064.2 | 13.3 |
| CompanyH | 40.2 | 0.4 | 28065.1 | 2 | 20.2 | 1397 | 20 |
| CompanyS | -11.3 | 0.1 | 46310.2 | 1.1 | -1.3 | 2106.1 | 7.5 |
| CompanyQ | -13.1 | 0.7 | 14501.9 | 2.9 | 21.4 | 1268.8 | 10 |
| CompanyR | -5.5 | 0.2 | 13249.2 | 0.8 | 11.1 | 1421.2 | -1.3 |
| CompanyL | 31 | 0.4 | 9335.1 | 4 | 7.5 | 1650 | 30.2 |
| CompanyA | -2.7 | 0.7 | 27313.1 | 1 | 22.5 | 3014.3 | 10.7 |
